source_user,recommended_user,score
namira713,parhamvakhshoor,6
namira713,M_iSaana,3
ForEveryBd,Linfo24_7,3
najafilei,Arash_Army,10
sherminnaderi,khodabkhshbluch,5
sherminnaderi,sherminnaderi,5
sherminnaderi,Obeid_Mraesi,5
sherminnaderi,sare9904,3
MRD_Farahmand,GanjiAkbar,6
Schab11386,niloofar_ch_,10
justgalexyyy,1mohajer1,10
amirahmad_ahm,Lopichi_Tanha,5
Persiancersie,backpacker___14,4
Persiancersie,hosseyn1988,3
Persiancersie,kevicrypt,3
SamanMoghadam15,shahinnajafi80,10
Sherliick7,Sadiography,10
Sherliick7,borhanimohsen1,3
Sherliick7,ma_flower1,3
Sherliick7,tattoocullture,3
Sadiography,dopenfthrrr,4
Sadiography,_taraneh_song,4
hr__salehi,ali_shariatti,4
hr__salehi,clashreport,4
hr__salehi,hezardastan1981,3
sefidmoos,_eve_e,5
sefidmoos,bitaiiiii,4
mry__mlk,saharipj,10
mry__mlk,nader_ghelichi,3
mry__mlk,Lvspink0,3
DavidB2616,_DevilsBride,4
DavidB2616,Rouhbakhsh4,4
marjane5058,IsraelPersian,6
marjane5058,karaji_m,5
marjane5058,yzarka,3
GolSabaa15,raviyekhak2,6
GolSabaa15,Majid62nasiri,6
GolSabaa15,ask_why_aalwyas,4
priincessponyo,llmaryami,6
priincessponyo,IranianPlateau,4
sunlightdrowned,chrnesto_je,10
MhB382376456627,khabarnegare7,10
UrLoveNil,Erfanzx__,5
UrLoveNil,isltni,5
yahlh3,nokarali_313,6
Ma5592024771845,aferat_,10
shadbakhti,Radioirava,3
shadbakhti,pasha_zeynab,3
javadtavakol2,iranema2017,10
javadtavakol2,AmnestyIran,4
javadtavakol2,Maryam_Rajavi_P,4
baktoos,E_Aria_N,10
Btokhm,Entekhab_News,5
Btokhm,pouriazeraati,3
bahr0os1,MAROONEDnowhere,3
bahr0os1,turkekhar,3
mrbolt1991,AminNayebpour,7
mrbolt1991,M_Haghshenas_G,5
mrbolt1991,ParsaNefty,3
ParsaNefty,Mojix0101,6
ParsaNefty,whayolettt,4
golgissoo,yasaman_sadat,3
golgissoo,i2_captain,3
dokhibaran,aminifar1365,5
dokhibaran,hosseinnn_128,3
nowhowhy,ahmadrezaaei,5
nowhowhy,rororojijijin,5
nowhowhy,booooobiiiiii,5
nowhowhy,cenaps,3
ahmadrezaaei,cenaps,5
ahmadrezaaei,tolou11,5
iliahosseini_,rezwilll,7
iliahosseini_,_tinaehsani_,7
iliahosseini_,NeggaarZ,5
iliahosseini_,teradiatorist,3
iliahosseini_,3amSheyda,3
rezwilll,_tinaehsani_,10
rezwilll,THE_MJCORTEX,8
rezwilll,ZArabsorkh73274,4
bayanbabaeii,KhzlyA77640,5
bayanbabaeii,13544rLaleh,5
bayanbabaeii,mhr_ghorbani,5
bazmimbamimbaz,Bataaaaaven,5
bazmimbamimbaz,ShavazCom,5
Sh99Amir,BachehayeIran,4
Sh99Amir,chizesoorati,4
Sh99Amir,myfootkin,3
fatemehoseinpo,Hanii_iie,4
fatemehoseinpo,Ahoorax,4
fatemehoseinpo,commisser444,3
fatemehoseinpo,oriazafari,3
oriazafari,alwaysbardia,8
JustConcentraT,Soshiiiant,10
JustConcentraT,darioofsky,5
JustConcentraT,MMoradiyoon,5
Soshiiiant,MMoradiyoon,6
Soshiiiant,darioofsky,4
shirinasal_,Sareqkhyabani,10
Rioona_1991_,thebabak1,4
Rioona_1991_,Michael_madboy,3
omidam_abani,sobhan_70,4
omidam_abani,elia12420,3
deadmozby,r_banoo,10
deadmozby,MoradiRazie,8
r_banoo,Pouya_nkh,4
r_banoo,sedamkonsoso,3
r_banoo,nginnz,3
villette_bronte,Armandodvegas,6
villette_bronte,sarraashrafi,3
villette_bronte,Nazi_rz,3
Armandodvegas,Elihaniki,4
Armandodvegas,anet_az4,3
avenir_2023,visegrad24,4
avenir_2023,Cheekypicky_3,3
soheili84,adam_hesabi,5
soheili84,PahlaviReza,4
Arimi117,LOUIESTREAM,10
babanoo_,itisHerlife,4
babanoo_,Abroadin_farsi,3
MohammadKh66777,Parpanchi,10
Avayiiii,Morningstar_prl,10
sydmorteza_mir,Digiato,7
baharroon,hnktmrfs_00,5
baharroon,third_world_dr,5
baharroon,shahrkhakestar,3
hnktmrfs_00,third_world_dr,10
yurgunam,Philip_Morris_b,8
yurgunam,ali46damashi,8
baba_kuchik,pouriazeraati,10
AHAM16011355,shayan_shahnazi,10
shayan_shahnazi,vahid__bahman,3
life_woman_lib,TafianMehrnoosh,10
mona_kargar,Tavaana,6
mona_kargar,Goftaniha,3
poyajavan,Give_me_dead,10
poyajavan,borhanimohsen1,7
poyajavan,SedSulfuric,3
poyajavan,tahan_nazif,3
Give_me_dead,borhanimohsen1,5
Give_me_dead,SedSulfuric,5
Give_me_dead,tahan_nazif,4
Give_me_dead,V_Mehdi10,3
Give_me_dead,sana_bano_313,3
Lilium38710987,V_Mehdi10,10
Lilium38710987,saye_zkr,6
Lilium38710987,Hamide_ys,4
Lilium38710987,sana_bano_313,4
V_Mehdi10,saye_zkr,6
V_Mehdi10,sana_bano_313,4
V_Mehdi10,Seyedzakani,3
V_Mehdi10,Moghada10103742,3
MechPy,vernazanenghad,10
MechPy,midoridesu__,5
MechPy,YaeNouzen,4
MechPy,bonnieparrkerr,4
vernazanenghad,YaeNouzen,4
vernazanenghad,bonnieparrkerr,4
vernazanenghad,midoridesu__,4
havanirooz,lieaEbony,5
havanirooz,IsraelPersian,5
havanirooz,shailevy6,3
lieaEbony,khatere_1990,3
lieaEbony,T_T1378,3
HiwaTube,eclatttttt,3
HiwaTube,soosan1333,3
sti341,smile_ot8,5
sti341,redaphra1,5
sti341,NabihyunH,5
sti341,SEUNGM1NE,3
sti341,glow0fdarkness,3
sti341,itisblueberryy,3
smile_ot8,itisblueberryy,5
smile_ot8,baby_8sk,4
smile_ot8,smile_ot8,4
zahmat_kesh,shimaisback,6
zahmat_kesh,dltachist,4
dltachist,RezaSabury,5
malij69,Mohamad78madani,7
malij69,A_tabriziiiii,7
malij69,mshm19911,3
malij69,ahmadsabet6551,3
Mohamad78madani,A_tabriziiiii,10
Mohamad78madani,Atinose,5
Mohamad78madani,mshm19911,4
Mohamad78madani,IranianPlateau,3
Zeinab_r69,naamehrban,6
Zeinab_r69,Poshtiban6236,4
Zeinab_r69,Hana_banou,4
naamehrban,Poshtiban6236,7
naamehrban,Kazem1364s,5
naamehrban,Raana38013790,3
miwaxox,iiichiggo,10
miwaxox,nikkilovespiss,10
miwaxox,kamousk,10
Aria76957794,zizinanigooloo,11
Aria76957794,Omidghasemi111,5
Aria76957794,Kooperkooper007,3
Aria76957794,sadsark,3
zizinanigooloo,Omidghasemi111,6
zizinanigooloo,Kooperkooper007,3
zizinanigooloo,kochar_ir,3
Bahmanasadi31,Maryam_Rajavi_P,10
TheNarrgol,IranianForum,10
TheNarrgol,alihashem_tv,5
TheNarrgol,indypersian,4
IranianForum,ABC,5
WasntThereToSee,DrowsyNims,10
moon_at_apogee,matilda_iran,5
moon_at_apogee,daddofanne,3
moon_at_apogee,he_sarv,3
moon_at_apogee,nicolas_saaf,3
soodijoon,bacheh_seyyed,10
soodijoon,LavasaniHossein,10
soodijoon,HajNooredin,4
soodijoon,_callmenarrjess,3
soodijoon,Samanenazary,3
bacheh_seyyed,LavasaniHossein,10
bacheh_seyyed,Samanenazary,4
bacheh_seyyed,_callmenarrjess,4
BagimsizGuneyAz,mosafer2222,3
Armanem02,hehe_mikh,4
Armanem02,HumansNoContext,3
pocohantes2021,Hooriehkhodami1,3
pocohantes2021,ARDESHIR003,3
SHAYA9000,ahoora004,6
SHAYA9000,Biisavaad,3
ASyzdhm,Karton_KHaab,5
ASyzdhm,HRA80,5
ASyzdhm,pborazjani,5
ASyzdhm,alikh4ni,5
Karton_KHaab,HRA80,10
Karton_KHaab,pborazjani,10
Jalilrasoule110,narsistwt,6
Jalilrasoule110,Alfredo_pacino7,6
Jalilrasoule110,achimnoeul_,6
Jalilrasoule110,arifrahmanii,4
arifrahmanii,AmuTelevision,3
arifrahmanii,DrDadfarSpanta,3
nikola_fesla,intothedark75,10
Mohamma49014129,2457_fgk,7
Mohamma49014129,smn_azizi,7
Mohamma49014129,aban_fh,4
Mohamma49014129,yalda90am,3
Mohamma49014129,sanshothebailif,3
2457_fgk,smn_azizi,10
2457_fgk,aban_fh,5
2457_fgk,ezijoni,5
2457_fgk,yalda90am,5
