source,target,weight
Peedru7,IAMAmiiiiiin1,1
ArameshAtiaram,PahlaviReza,1
hooman_sharifi,hooman_sharifi,1
rohan46519575,allamehmadjlesi,1
AmoyeRosita,Mansoureh_Ro,1
Jeanne2022Rev,moein_kh,1
doornayeomid,IranianPlateau,2
yYh8x5hC6nxh1Wd,MehrshadHei,1
ArmanRadma12215,EvaristGaloisir,1
Megacurly93,shargh_andooh,1
karaji_m,IsraelPersian,1
arashshahrok,YazdanKarimi10,1
AN_IRANIST,zero000_s,1
madineh_ahzar,hadimehrane1,1
MeHengam,__theoutlier__,1
houmans1,Khamenei_fa,1
negarrezaieh,ReihaniHamed,1
DuckinfHatwYou,mamadmelone,1
NeoRezM,irsepidar,1
Walterakam,NIACouncil,1
masteryi1997,masteryi1997,3
AkhoondeMorde,indypersian,2
malihe_toosi,Mahhbano,1
eskavel,onlinemothering,1
AssyrianBanipa,hosseindehbashi,1
NiTn56,iranintlsport,1
koiras_p,Aburrrida901903,1
MAT83903301,por_harf,1
gorrrba,_khastam__,1
esmaili_21,Amozgar_4457,1
ot72284,jeonkimin123,1
whjmiuo,Moody_RachelG,1
cyber_punk1985,fcpii_official,1
Mirza_Kalantar,Mirza_Kalantar,2
TAKO23965779,hadimehrane1,1
Mrrezaei5,thisisniusha,1
omniacumpretio,IranianPlateau,1
pariponyo,callmiiran,1
cheragh_aseman,cheragh_aseman,17
Ariapahlavism,MRYAZDAN,1
smhzeee,aliagho,1
moonymond,rsh7nd,1
armintaseeri,0xMoei,2
LaadthePS,LaadthePS,1
parsamkr,itsepanta,1
AmeltingSnowman,IranianPlateau,1
Aghabgard,arefmoghaddam,1
synmmdyzdh30822,shoja_bahrami,1
bamboolism,jannatkhah_ir,1
af666369004,Gordafa08078875,1
7980panah,atenaa82,1
Benglobal4,Peyvand1986,1
Imhappy992,Imhappy992,1
mamadporii,HadrienGhomi,2
Amir_jk_,H_EmamII,1
tehr46,iran_war_room,2
sanam_kabiri,ismails100,1
ashkkkkkkkk,Homa047511414,1
MashhadGirl,srhmt835,1
YasinGt_,InvincibleHQ,1
ArashZamani_ir,a_alegry,1
admiral1320,GolestanParsa,1
dlnvsht,asemanhn,1
darya_daar,mosbatboy,1
Baby_activist,alasht_Iran,1
__negiiin,girlwithhershit,1
begoo_zeyd,SofrehIsTrying,1
afrooz_48,Davidwaters1962,1
m00nchild9597,dopenfthrrr,1
siamak_azami,FreeMajidKazemi,1
a_baby_hamster,FUJISAMAI,1
LeilaSamani,kavoshplus,1
amir3562khan,shina_e,1
mehdiameri,memarsadeghi,1
azadeh48,Ivar_lathbrug2,1
Mat1oob,Kasrakarimi3,1
balochcampaign,balochcampaign,1
1shokriyan,RhetttButler,1
ellaeebellaee,ellaeebellaee,1
byuns_darkdream,bbhsource,1
ferfery1358,szabdollahi,1
alisan655,oguz24boy,2
teyyyyte,HTelecaster,1
imdadbashir786,sadafsheriff35,1
LeilayeLeili,manolo_realengo,1
ArtinSir,Leosavage77,1
shadidoktor,__hamid__484__,1
Mehrshad840,Tasnimnews_Fa,1
r73789096,syjebraily,1
thegodbastet,Adaxqt,1
arminn20199,crypto_leb,1
jPeterhood,Shinigamihastam,1
cholaghalikhan,EbneHava,1
SepideJandaghi,Kris2fert,1
farvaharirani1,ainrh221,1
mahejoza,Mesterterter,1
myfootkin,OutFarsi,2
p_khorshid_mah,mohwdesee,1
Moon_protector,mharry_tk,1
imzooks,maroofian_n,1
ElliBorna,mohammadsedarat,1
ilami78,drbaluchi,1
sheydayee,Che_iran3,1
emadbrb,Milad_KM,1
drdrhh,drdrhh,1
saiinamoon,mohmdmahdig,1
Sakura8080136,hardseltzerr,1
OfficialSiasi,OfficialSiasi,18
ramin_zkt,M4hyar_,1
NM6Directioner,narges95662302,1
vahidhajipour1,vahidhajipour1,1
afshari_aku,alirad09643427,1
A_k_niknam,sadeghZibakalam,1
YaserDgh,Real_Kasraaa,1
shemr_hastam,s_yas_1,1
AhbarAqa,honeybuty,1
NaNaz59978928,Ansari_Bahman,1
javid_iran1401,khomeyni_com,1
JuniorFAc7,sina_mim,1
mahyaanaa,jacksonhinklle,1
MohammadKh66777,MohammadKh66777,1
biyabokhoreshh,meysam__71,1
kazemansar11684,aghay_shojaei,1
be_name_vatan,netanyahu,1
Yalman,sadrabackup,1
Kwidddler,marketexpertir,1
akbarpour__,Maah_moony,1
_maral___,Imdreamergirls1,1
Mojtaba14109505,borhanimohsen1,1
MARYAMA59605796,_mari_1359,1
reza_bam09,najmeh_b79,1
babak15670859,maahditorabi,1
e02v23,sirkalak,1
zaarzarr,OrlayaRita,1
black_sssnow,idkmhds,1
marya7v_,army_iranbts,1
sepidiaa,eslamiicy,1
zohreh_yar76,major_javad,1
fateme845261094,bjorniron59,1
Altvmlt,lalisa_sfry,1
Mitra134813,ManotoNews,1
the_Phoenix_ua,mollah,1
mosiouo,pouriyaaaaaaa,1
JAMAL4561310032,porzady,1
Pishi2001,mim_flowerr,1
m_yousefinejad,MohajerMr,1
bjorniron59,baran61542207,1
khojastes,lalisa_sfry,1
artur1369,begoonah1,1
iman_kashani,RuhollahSeddigh,1
puria_adhami,Maah_moony,1
parsa_tarane6,sondos_hejab,1
thewisewalls,hourIyhoroscope,1
dolceeeviiita,Khosrowalikord2,1
InSearchOf_Fact,HezbollahMedia,1
star_a_ka,Rafiei5541,1
helhstm_,nnightbloom,1
TarabAndarTarab,TarabAndarTarab,1
amiralinaeimi1,Parisadafi,1
mahboooghnevis,ferani666,1
nelinzoo,kaghe_official,1
alisafavi1995,hashemy_ir,1
al__lahiji,exshadowdancer2,1
omidkarimi796,indypersian,2
MahdieParsa,_FTM_99,1
sahereabi,SdZarei,1
Bamdada3,mehdiiaq,1
MoeinAbz,MeliCa_tc,1
zahraba__,iAreff,1
babysuperdriver,mamadporii,1
KZahedian,Migren00,1
Freedom_atk,ShahramMakoui48,2
MeOHerian,yasharsoltani,1
Starvkii,vl_lilium,1
Saghar596,niloufairy,1
TheMosavi,he_sarv,1
arefeh1992,a_gpr_a,1
ClintStwood,admiral1320,1
Lillian3003,farAyad_,1
